index,p,r,mean,lci,uci
"1",1,0,113611134.804274,9610081.5663105,866596027.464625
"2",1,1,93988397.1794691,9900885.21972917,434365806.872621
"3",1,2,2130127014.38353,8316739.57118551,7799449454.47918
"4",1,3,78238186.4468462,11351765.7016944,352527975.040009
"5",1,4,673370828.136732,9064668.63475563,821605464.028259
"6",1,5,116008881.105721,7229947.96226469,478274874.826012
"7",1,6,154472448.750256,7608947.06351539,856729979.367156
"8",1,7,848012730.26125,11699520.7116202,9381823070.93786
"9",1,8,188714389.080089,9374238.48433468,1401135794.12341
"10",1,9,564201132.279373,7258635.03939279,2556261509.97091
"11",10,0,1439009.66571654,1346599.52965254,1521951.53212296
"12",10,1,1314268.65187179,1257192.31202188,1385406.65893473
"13",10,2,1303517.42880782,1254215.08504332,1356548.6937026
"14",10,3,1327126.50429566,1252716.11403139,1403600.27914582
"15",10,4,1369747.81434167,1290604.36575129,1445974.66771744
"16",10,5,1401619.55751297,1312704.6524662,1483044.25653541
"17",10,6,1303775.66084137,1241560.44659077,1363854.52849324
"18",10,7,1387919.76108379,1311293.94240326,1470550.91408071
"19",10,8,1322000.87769815,1249081.93664793,1399954.92998827
"20",10,9,1336144.99205665,1269174.57396734,1408052.98053702
"21",2,0,9824643.46564247,3454624.65090007,28438851.902281
"22",2,1,47333083.3501821,9373711.75112271,199440090.011843
"23",2,2,21986656.31386,4821949.54235878,60140962.9640839
"24",2,3,83277392.3911215,5417858.69353766,322104280.754772
"25",2,4,28296160.5572759,8487809.02757536,89869503.4647691
"26",2,5,19028637.1987825,4249687.38894904,76228878.7857978
"27",2,6,34768117.5698061,7501142.06089661,102510569.023042
"28",2,7,39075228.6004073,5871492.78734547,250598625.921649
"29",2,8,20303730.6920865,3463091.23061729,63537709.2119229
"30",2,9,130616600.502267,12194672.7770315,693558446.711924
"31",3,0,5558261.08905824,2964551.91331046,12132920.4882456
"32",3,1,5731561.33050807,3084180.67914398,12207267.4658548
"33",3,2,9037120.57926259,4079262.53770562,23795976.8675139
"34",3,3,8581217.21088986,3582451.57226757,18397236.5931132
"35",3,4,14250491.7641085,3945515.89181197,54616728.5596134
"36",3,5,10877362.9995822,3540563.96389642,47834184.9522522
"37",3,6,29195065.5233213,4416175.62800918,72654155.4933534
"38",3,7,38119313.364869,4736463.3419918,88183343.5444297
"39",3,8,6513284.94938924,3118669.63593889,19905500.0335936
